"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.delta","log2fold_change","Auc"
"1196","MAP6","hurdle",0.000212608760175857,5.144835,6.557987,1.413152,0.603
"1157","LRRC42","hurdle",7.27162952403684e-05,5.265255,6.62932,1.364065,0.603
"438","CLGN","hurdle",6.50090598384799e-05,4.687703,5.762192,1.074489,0.603
"392","CELF3","hurdle",2.00210129653137e-05,4.715453,5.973877,1.258424,0.603
"142","ASPDH","hurdle",3.66094806007151e-09,2.819517,5.144265,2.324748,0.603
"133","ASB4","hurdle",8.24281569134809e-10,2.060318,5.256758,3.19644,0.603
"2140","TP53BP1","hurdle",0.000797068036183231,5.457068,6.438625,0.981557,0.602
"1889","SLC35F3","hurdle",6.58707463128462e-06,3.89297,5.477166,1.584196,0.602
"1622","PRSS23","hurdle",0.00295852242130928,7.916836,8.543311,0.626474999999999,0.602
"1212","MARK1","hurdle",8.9735187728455e-06,4.318037,5.911624,1.593587,0.602
"955","HPRT1","hurdle",0.000213323690662503,5.592051,6.731213,1.139162,0.602
"2252","VOPP1","hurdle",0.00360812302385316,5.896016,6.619282,0.723266,0.601
"2066","TERF2IP","hurdle",0.00176223940687554,7.721274,8.346617,0.625343,0.601
"1775","RTP4","hurdle",1.46314712472307e-08,3.404783,6.364363,2.95958,0.601
"1508","PFN2","hurdle",3.69392028569028e-05,7.73941,8.951246,1.211836,0.601
"1242","MEGF9","hurdle",7.53551505561081e-05,4.700998,6.100181,1.399183,0.601
"1234","MEAF6","hurdle",0.00155667184626738,6.942042,7.621407,0.679365,0.601
"1091","KIF5C","hurdle",0.00106936441568105,6.086018,6.82906,0.743042,0.601
"748","FBXL16","hurdle",3.09719571661924e-05,4.297435,5.712704,1.415269,0.601
"1982","STAU2","hurdle",0.000108684446169042,5.271683,6.508738,1.237055,0.6
"1838","SGSM1","hurdle",5.37635911267334e-05,4.55485,5.680412,1.125562,0.6
"1678","RALYL","hurdle",9.06625297867902e-07,3.55464,5.160085,1.605445,0.6
"1385","NRCAM","hurdle",0.00124416506711987,5.863839,6.860688,0.996849,0.6
"1068","KCTD8","hurdle",1.50888665365209e-13,0.3655094,4.6232997,4.2577903,0.6
"628","EFNA5","hurdle",0.00013126009826802,5.490433,6.407867,0.917434,0.6
"88","ANO5","hurdle",9.07840165746002e-06,3.528613,4.795084,1.266471,0.6
"2000","SV2A","hurdle",0.000206213451199417,5.267981,6.332811,1.06483,0.599
"1892","SLC38A1","hurdle",0.000425133487851312,5.901943,7.031974,1.130031,0.599
"1665","RAB3D","hurdle",7.17987928616458e-05,4.939053,6.142718,1.203665,0.599
"1301","MYH10","hurdle",0.000297562922446119,6.253383,7.182656,0.929272999999999,0.599
"1018","ITPR3","hurdle",5.762198827321e-05,5.612672,7.009075,1.396403,0.599
"869","GOLGA4","hurdle",0.00308666606280597,7.778982,8.602546,0.823564,0.599
"645","EMB","hurdle",4.68653542333075e-05,4.468022,5.856629,1.388607,0.599
"618","ECEL1","hurdle",3.65578484328587e-10,3.301985,7.167019,3.865034,0.599
"512","DAPL1","hurdle",5.89709545753395e-07,3.059658,5.198141,2.138483,0.599
"1720","RGS17","hurdle",0.000282950556170387,5.045844,6.081981,1.036137,0.598
"736","FAM84B","hurdle",2.88829864043879e-05,4.499244,5.959257,1.460013,0.598
"653","ENO2","hurdle",0.0015745083829378,6.858813,7.63137,0.772557000000001,0.598
"153","ATP6V0A1","hurdle",0.00154622577954568,6.820859,7.480338,0.659479,0.598
"1136","LONRF2","hurdle",0.000124043218187148,5.237652,6.252828,1.015176,0.597
"763","FBXW7","hurdle",0.00129799675816362,5.434144,6.231737,0.797593,0.597
"511","DACH1","hurdle",1.89202446461707e-05,4.567559,6.029885,1.462326,0.597
"7","ABCA5","hurdle",0.00207513458964304,6.445523,7.256926,0.811403,0.597
"2110","TMEM196","hurdle",1.08431291914691e-05,3.749172,5.018939,1.269767,0.596
"1142","LRBA","hurdle",7.42233159426462e-05,5.466348,6.482855,1.016507,0.596
"1132","LMO2","hurdle",8.71271809345769e-07,2.934036,5.449248,2.515212,0.596
"1049","KCNJ11","hurdle",8.567888654534e-05,4.21111,5.655468,1.444358,0.596
"312","CBFB","hurdle",0.000483110789202759,5.760259,6.929804,1.169545,0.596
"1974","ST6GALNAC5","hurdle",1.015261018634e-06,3.381125,5.370413,1.989288,0.595
"1825","SESN3","hurdle",7.91863877728295e-05,5.270268,6.647507,1.377239,0.595
"1798","SCN1B","hurdle",7.72323884971042e-06,3.964242,5.539444,1.575202,0.595
"1740","RIPPLY2","hurdle",1.21976513097223e-05,3.04456,4.708991,1.664431,0.595
"1568","PNRC2","hurdle",0.00173889387613108,6.180507,7.009905,0.829397999999999,0.595
"1509","PGAP1","hurdle",2.09755972712651e-05,3.898504,5.637912,1.739408,0.595
"1366","NMNAT2","hurdle",4.79895662962811e-05,4.987778,6.020866,1.033088,0.595
"724","FAM46A","hurdle",0.00274741445419049,6.850545,7.575671,0.725125999999999,0.595
"666","EPM2AIP1","hurdle",0.000344893992190455,6.119585,7.01126,0.891675,0.595
"123","ARL4D","hurdle",4.81544910648355e-06,3.649614,5.657033,2.007419,0.595
"54","AK5","hurdle",9.56808400489131e-08,2.241794,4.775504,2.53371,0.595
"1732","RIC3","hurdle",0.000773676147331202,5.407103,6.399265,0.992162,0.594
"1565","PNMAL1","hurdle",3.72460798381378e-05,4.898119,6.169338,1.271219,0.594
"1806","SDF2L1","hurdle",0.0248337377618443,6.996419,7.520075,0.523656,0.593
"1586","PPP1R12A","hurdle",0.00316515870333419,6.11951,6.73944,0.61993,0.593
"1347","NEGR1","hurdle",1.95789652926716e-05,3.69262,5.273222,1.580602,0.593
"1291","MTIF3","hurdle",0.0106234026726968,6.565368,7.123925,0.558557,0.593
"1138","LPIN1","hurdle",0.000324399567060826,5.852693,6.85173,0.999037,0.593
"492","CTNND2","hurdle",2.94268744456304e-05,4.077989,5.141141,1.063152,0.593
"1606","PRKAR1A","hurdle",0.00489865375995126,8.552757,9.245197,0.69244,0.592
"1582","PPL","hurdle",0.000469938856036017,6.544253,7.918029,1.373776,0.592
"1577","POU3F1","hurdle",6.9202968857918e-14,-0.4928239,4.2766318,4.7694557,0.592
"1536","PJA1","hurdle",0.000865287357278624,5.452881,6.476081,1.0232,0.592
"1190","MAP2","hurdle",0.00177657441765502,6.510957,7.32415,0.813193,0.592
"1175","LYRM7","hurdle",9.41309882496593e-05,4.931475,6.44382,1.512345,0.592
"717","FAM200B","hurdle",0.00940252952596203,6.422444,7.206991,0.784547000000001,0.592
"688","FAM102A","hurdle",1.24971853516622e-05,7.234472,8.323088,1.088616,0.592
"2038","TBC1D24","hurdle",8.22389921925803e-05,4.031954,5.424587,1.392633,0.591
"2030","TANC2","hurdle",5.68626334070206e-05,4.7627,6.243431,1.480731,0.591
"1655","RAB12","hurdle",1.07494693163432e-05,3.937879,5.375815,1.437936,0.591
"1186","MAL2","hurdle",0.00331137045316903,6.625294,7.242282,0.616988,0.591
"1092","KIF9","hurdle",0.000387827447559351,4.528346,5.709137,1.180791,0.591
